Postal_code,max_temp,min_temp,exposure
V1J6G6,7.46290411,-3.696794521,1
V1J1P4,7.462986301,-3.676273973,1
V1J2P9,7.463013699,-3.691890411,1
V1J4S3,7.463013699,-3.675287671,1
V1J6E6,7.463068493,-3.696739726,1
V1J4T2,7.46309589,-3.697479452,1
V1J5H2,7.463150685,-3.692767123,1
V1J2R2,7.463315068,-3.692054795,1
V1J6K2,7.463506849,-3.69260274,1
V1J3C8,7.463561644,-3.674767123,1
V1J0E3,7.463589041,-3.703643836,1
V1J2S9,7.463616438,-3.694164384,1
V1J4V6,7.463671233,-3.697342466,1
V1J2P4,7.463753425,-3.691205479,1
V1J2T1,7.463835616,-3.694356164,1
V1J4M4,7.463917808,-3.674520548,1
V1J7J3,7.463945205,-3.704136986,1
V1J1J6,7.464,-3.674027397,1
V1J1J5,7.464027397,-3.673726027,1
V1J5T2,7.464136986,-3.697972603,1
V1J1M2,7.464164384,-3.675205479,1
V1J4P6,7.464219178,-3.693589041,1
V1J2V2,7.464273973,-3.695643836,1
V1J5P2,7.464328767,-3.701726027,1
V1J4P7,7.464356164,-3.693369863,1
V1J4S6,7.464383562,-3.695616438,1
V1J1M1,7.464410959,-3.674849315,1
V1J4W7,7.464438356,-3.697287671,1
V1J2P5,7.464438356,-3.691232877,1
V1J2R3,7.464684932,-3.693068493,1
V1J5S4,7.464684932,-3.693068493,1
V1J6M7,7.464767123,-3.694465753,1
V1J3W1,7.464767123,-3.691917808,1
V1J3Z8,7.464876712,-3.694082192,1
V1J3W2,7.46490411,-3.691972603,1
V1J4W8,7.465150685,-3.692821918,1
V1J2N6,7.465178082,-3.69030137,1
V1J6C5,7.465342466,-3.698246575,1
V1J4C2,7.465342466,-3.695835616,1
V1J2T2,7.46539726,-3.695068493,1
V1J5T4,7.465506849,-3.701726027,1
V1J1J8,7.465506849,-3.673972603,1
V1J2N7,7.465643836,-3.690849315,1
V1J1J7,7.465643836,-3.673753425,1
V1J0J2,7.465726027,-3.691287671,1
V1J5N7,7.465808219,-3.700986301,1
V1J5N8,7.465863014,-3.701123288,1
V1J2V4,7.466,-3.695863014,1
V1J2M1,7.466,-3.689780822,1
V1J6M9,7.466109589,-3.694931507,1
V1J3V8,7.466136986,-3.690849315,1
V1J2L9,7.466164384,-3.68969863,1
V1J5N9,7.466219178,-3.701315068,1
V1J2V3,7.46630137,-3.695835616,1
V1J0J8,7.466328767,-3.695123288,1
V1J7B4,7.466356164,-3.692109589,1
V1J7J2,7.466383562,-3.696328767,1
V1J4W9,7.466493151,-3.695424658,1
V1J2P6,7.466547945,-3.692410959,1
V1J6C8,7.466657534,-3.700712329,1
V1J2K2,7.466849315,-3.68909589,1
V1J3V9,7.466876712,-3.690328767,1
V1J4E5,7.466958904,-3.696465753,1
V1J2K1,7.467013699,-3.688931507,1
V1J2W7,7.467041096,-3.697479452,1
V1J2N8,7.46709589,-3.690931507,1
V1J2W6,7.467205479,-3.697315068,1
V1J6N7,7.467232877,-3.693643836,1
V1J2N9,7.467260274,-3.691041096,1
V1J3V7,7.467369863,-3.690054795,1
V1J2N1,7.46739726,-3.699671233,1
V1J2T4,7.467479452,-3.695123288,1
V1J2M9,7.467534247,-3.699479452,1
V1J6P4,7.467534247,-3.695013699,1
V1J0J3,7.467616438,-3.700958904,1
V1J4E4,7.467616438,-3.695726027,1
V1J2T3,7.467643836,-3.694958904,1
V1J3Z5,7.467643836,-3.691972603,1
V1J5N2,7.467671233,-3.694657534,1
V1J3Z6,7.467780822,-3.692219178,1
V1J2M2,7.468,-3.690164384,1
V1J4Z9,7.468,-3.694493151,1
V1J2M3,7.468082192,-3.690383562,1
V1J4E3,7.468109589,-3.695452055,1
V1J4L6,7.468164384,-3.691534247,1
V1J2R9,7.468219178,-3.694164384,1
V1J2V6,7.468273973,-3.696684932,1
V1J3Z4,7.468328767,-3.691013699,1
V1J2L3,7.468328767,-3.698630137,1
V1J4N5,7.468493151,-3.694082192,1
V1J2V5,7.468520548,-3.696438356,1
V1J2K4,7.468630137,-3.689260274,1
V1J2L2,7.468684932,-3.698493151,1
V1J0C6,7.468684932,-3.695890411,1
V1J4E2,7.468739726,-3.695260274,1
V1J6M4,7.468794521,-3.697506849,1
V1J2K3,7.468821918,-3.689561644,1
V1J5L3,7.469123288,-3.693123288,1
V1J4R2,7.469178082,-3.694657534,1
V1J4H2,7.469205479,-3.699123288,1
V1J5Z8,7.469369863,-3.694876712,1
V1J2T5,7.469534247,-3.695917808,1
V1J6K9,7.469808219,-3.695671233,1
V1J4X7,7.469945205,-3.693479452,1
V1J3Z3,7.469945205,-3.689972603,1
V1J6H7,7.47,-3.695479452,1
V1J2S1,7.470273973,-3.695013699,1
V1J2S2,7.470438356,-3.694821918,1
V1J2M4,7.470821918,-3.690876712,1
V1J4S4,7.470876712,-3.691123288,1
V1J5L2,7.470986301,-3.694,1
V1J4G2,7.47109589,-3.695315068,1
V1J5G9,7.471123288,-3.693013699,1
V1J4G3,7.471178082,-3.695506849,1
V1J5C4,7.471342466,-3.693205479,1
V1J6H6,7.471424658,-3.695205479,1
V1J4A3,7.471424658,-3.69,1
V1J4Z8,7.471452055,-3.692109589,1
V1J5M8,7.471506849,-3.693890411,1
V1J2K5,7.471589041,-3.690136986,1
V1J2K6,7.471808219,-3.69,1
V1J5V2,7.471890411,-3.694876712,1
V1J4L3,7.471917808,-3.690520548,1
V1J4C1,7.472136986,-3.69060274,1
V1J2M6,7.472164384,-3.691342466,1
V1J5C5,7.472328767,-3.693479452,1
V1J2M5,7.472328767,-3.691205479,1
V1J6G5,7.472438356,-3.692575342,1
V1J5A6,7.472547945,-3.693506849,1
V1J4E1,7.472739726,-3.692438356,1
V1J4C9,7.47309589,-3.691863014,1
V1J2H1,7.473205479,-3.684684932,1
V1J3V6,7.473369863,-3.684849315,1
V1J2K7,7.47339726,-3.690547945,1
V1J2M8,7.473479452,-3.691863014,1
V1J0H8,7.473506849,-3.675424658,1
V1J4C8,7.473561644,-3.691452055,1
V1J2K8,7.473616438,-3.690410959,1
V1J4C7,7.473671233,-3.691506849,1
V1J2C7,7.473726027,-3.683890411,1
V1J5M9,7.473780822,-3.694,1
V1J5N6,7.473863014,-3.694054795,1
V1J2H2,7.473863014,-3.685068493,1
V1J2M7,7.474219178,-3.691726027,1
V1J2C8,7.474219178,-3.684246575,1
V1J3V4,7.474547945,-3.68430137,1
V1J6E1,7.474575342,-3.693315068,1
V1J2H3,7.47460274,-3.685041096,1
V1J6V1,7.474630137,-3.675780822,1
V1J3V5,7.474657534,-3.684383562,1
V1J5P1,7.474739726,-3.69309589,1
V1J4S8,7.474794521,-3.692849315,1
V1J6S1,7.475150685,-3.683178082,1
V1J3Z2,7.475205479,-3.686,1
V1J6R1,7.475260274,-3.676109589,1
V1J6W6,7.475260274,-3.674328767,1
V1J3Z1,7.475287671,-3.686082192,1
V1J0H5,7.475315068,-3.67290411,1
V1J6P7,7.475342466,-3.675178082,1
V1J6B8,7.475369863,-3.674109589,1
V1J2L1,7.475452055,-3.691315068,1
V1J2K9,7.475506849,-3.691178082,1
V1J6H5,7.475534247,-3.675917808,1
V1J6R6,7.475726027,-3.675150685,1
V1J2C9,7.475726027,-3.684246575,1
V1J4K4,7.475890411,-3.692109589,1
V1J6J6,7.475890411,-3.65509589,1
V1J1Y3,7.476027397,-3.68230137,1
V1J3Y8,7.476219178,-3.685287671,1
V1J2B1,7.476273973,-3.68339726,1
V1J6A3,7.476273973,-3.67339726,1
V1J1Y2,7.47630137,-3.682219178,1
V1J6G4,7.476356164,-3.67430137,1
V1J6Z6,7.476410959,-3.676465753,1
V1J0B9,7.476410959,-3.671671233,1
V1J4L8,7.476438356,-3.673287671,1
V1J0J1,7.476520548,-3.672657534,1
V1J2H5,7.476547945,-3.685808219,1
V1J3Y9,7.476821918,-3.684876712,1
V1J2E1,7.476821918,-3.684630137,1
V1J2B2,7.476849315,-3.683671233,1
V1J6P9,7.47690411,-3.674849315,1
V1J7A5,7.476986301,-3.67660274,1
V1J6G1,7.477068493,-3.674,1
V1J2X7,7.47709589,-3.672630137,1
V1J0A5,7.477123288,-3.672383562,1
V1J1C8,7.477123288,-3.655041096,1
V1J0A1,7.477150685,-3.670931507,1
V1J6A5,7.477150685,-3.674794521,1
V1J0A2,7.477205479,-3.671506849,1
V1J0B3,7.477232877,-3.675424658,1
V1J3Y6,7.477424658,-3.684164384,1
V1J1T8,7.477506849,-3.68139726,1
V1J6L2,7.477534247,-3.655506849,1
V1J6Z7,7.477589041,-3.676109589,1
V1J2H4,7.477616438,-3.685835616,1
V1J2A9,7.477616438,-3.68369863,1
V1J3S4,7.477643836,-3.681068493,1
V1J3Y7,7.477726027,-3.684,1
V1J0C3,7.477780822,-3.671369863,1
V1J7G7,7.477780822,-3.670109589,1
V1J7J4,7.477808219,-3.675890411,1
V1J3S5,7.477863014,-3.68109589,1
V1J6R5,7.478,-3.674054795,1
V1J6H8,7.478109589,-3.674136986,1
V1J1T9,7.478109589,-3.681287671,1
V1J3Y4,7.478136986,-3.683671233,1
V1J3T9,7.478164384,-3.681753425,1
V1J7G1,7.478191781,-3.67109589,1
V1J1Y5,7.478246575,-3.68309589,1
V1J5S7,7.478246575,-3.68309589,1
V1J3T8,7.478273973,-3.681917808,1
V1J1Y4,7.47830137,-3.68290411,1
V1J6B4,7.478328767,-3.674767123,1
V1J2Y2,7.478356164,-3.673972603,1
V1J3Y5,7.478356164,-3.683369863,1
V1J0C5,7.478438356,-3.671150685,1
V1J6T5,7.478547945,-3.681068493,1
V1J2Y4,7.478684932,-3.652493151,1
V1J2X8,7.478767123,-3.673123288,1
V1J1S1,7.478876712,-3.680794521,1
V1J3T6,7.478931507,-3.681315068,1
V1J5H8,7.478958904,-3.673287671,1
V1J7G2,7.479013699,-3.670109589,1
V1J3T7,7.47909589,-3.681205479,1
V1J6J3,7.479178082,-3.672849315,1
V1J4L2,7.479205479,-3.680082192,1
V1J5N4,7.479232877,-3.671424658,1
V1J3Y3,7.479232877,-3.682849315,1
V1J3S3,7.479260274,-3.680410959,1
V1J6G2,7.479315068,-3.673150685,1
V1J1N5,7.47939726,-3.679808219,1
V1J2B3,7.479424658,-3.684109589,1
V1J6A7,7.479424658,-3.674191781,1
V1J1V1,7.479479452,-3.681671233,1
V1J7E8,7.479506849,-3.669616438,1
V1J5K8,7.479534247,-3.654931507,1
V1J5G7,7.479561644,-3.67339726,1
V1J5A5,7.479589041,-3.681835616,1
V1J7E9,7.479643836,-3.669178082,1
V1J2Y3,7.479671233,-3.674136986,1
V1J3T5,7.479726027,-3.680712329,1
V1J5Z9,7.479780822,-3.671068493,1
V1J5J1,7.479863014,-3.671972603,1
V1J2B4,7.479917808,-3.684,1
V1J4N9,7.480027397,-3.65490411,1
V1J6Z2,7.480246575,-3.672356164,1
V1J1N4,7.48030137,-3.680273973,1
V1J0E5,7.480328767,-3.670054795,1
V1J7C8,7.480328767,-3.669589041,1
V1J6M2,7.480383562,-3.651342466,1
V1J3S1,7.480438356,-3.679561644,1
V1J2X9,7.480438356,-3.673287671,1
V1J2Z9,7.480438356,-3.655424658,1
V1J1S3,7.480520548,-3.68109589,1
V1J6P5,7.480547945,-3.672027397,1
V1J5N3,7.480575342,-3.670054795,1
V1J6X8,7.480575342,-3.652027397,1
V1J1Y6,7.48060274,-3.683150685,1
V1J3Y2,7.48060274,-3.681917808,1
V1J6A1,7.480630137,-3.670739726,1
V1J1S2,7.480630137,-3.681342466,1
V1J6X5,7.480684932,-3.656520548,1
V1J1Y7,7.480849315,-3.68309589,1
V1J1N7,7.48090411,-3.680219178,1
V1J6G3,7.480931507,-3.673260274,1
V1J4N1,7.480931507,-3.65539726,1
V1J5J8,7.481013699,-3.671780822,1
V1J6R2,7.481041096,-3.670520548,1
V1J3Y1,7.481068493,-3.681753425,1
V1J0C2,7.481205479,-3.652,1
V1J3T2,7.481315068,-3.679616438,1
V1J5Z1,7.481342466,-3.669123288,1
V1J6Z8,7.481479452,-3.679890411,1
V1J6Z1,7.481479452,-3.672246575,1
V1J1K9,7.481534247,-3.678821918,1
V1J5E8,7.481561644,-3.672465753,1
V1J1V3,7.481643836,-3.682684932,1
V1J7C3,7.481643836,-3.651863014,1
V1J4N6,7.481671233,-3.679260274,1
V1J6J2,7.481780822,-3.654520548,1
V1J7J6,7.481835616,-3.652520548,1
V1J5X9,7.481863014,-3.668109589,1
V1J4Y3,7.481917808,-3.672383562,1
V1J5X8,7.481945205,-3.667616438,1
V1J4L1,7.481972603,-3.654493151,1
V1J3X9,7.481972603,-3.681260274,1
V1J6N4,7.482,-3.67030137,1
V1J4M3,7.482082192,-3.681287671,1
V1J1V2,7.482109589,-3.68260274,1
V1J2Z1,7.482136986,-3.653315068,1
V1J5Y3,7.482164384,-3.668136986,1
V1J3A8,7.482164384,-3.655643836,1
V1J6L8,7.482219178,-3.680684932,1
V1J5Y4,7.482328767,-3.668273973,1
V1J4Z5,7.482328767,-3.656438356,1
V1J6J1,7.482356164,-3.671424658,1
V1J3A7,7.482410959,-3.655671233,1
V1J2Z2,7.482410959,-3.653287671,1
V1J1C5,7.482630137,-3.654630137,1
V1J5J7,7.482657534,-3.670849315,1
V1J5P3,7.482712329,-3.680876712,1
V1J1N8,7.482931507,-3.680767123,1
V1J6X9,7.482931507,-3.679589041,1
V1J1P9,7.483068493,-3.681753425,1
V1J3B7,7.483178082,-3.655616438,1
V1J7A8,7.483178082,-3.67090411,1
V1J1P8,7.483205479,-3.681424658,1
V1J3X7,7.483232877,-3.680273973,1
V1J6N3,7.483287671,-3.668493151,1
V1J3X8,7.483315068,-3.680273973,1
V1J4K7,7.483342466,-3.652520548,1
V1J3B6,7.48339726,-3.655616438,1
V1J2Y5,7.483561644,-3.651452055,1
V1J5E7,7.483589041,-3.670712329,1
V1J2Z7,7.483616438,-3.654027397,1
V1J2Z8,7.483726027,-3.653835616,1
V1J5N5,7.483726027,-3.667917808,1
V1J1C6,7.483753425,-3.654931507,1
V1J5X6,7.483863014,-3.666082192,1
V1J4R3,7.483945205,-3.670027397,1
V1J0B4,7.484027397,-3.647041096,1
V1J5X7,7.484164384,-3.666109589,1
V1J2P1,7.484191781,-3.66890411,1
V1J4V3,7.48430137,-3.655068493,1
V1J3J4,7.484328767,-3.669561644,1
V1J4Y4,7.484493151,-3.667506849,1
V1J1C2,7.484520548,-3.65309589,1
V1J1L3,7.484630137,-3.679945205,1
V1J2P7,7.484630137,-3.669945205,1
V1J3A5,7.484712329,-3.653972603,1
V1J2Y9,7.484767123,-3.652,1
V1J2Y8,7.484821918,-3.652164384,1
V1J3X6,7.484849315,-3.679315068,1
V1J2N2,7.4849041100000004,-3.668273973,1
V1J3A6,7.484958904,-3.653945205,1
V1J4R9,7.484986301,-3.655178082,1
V1J5Y1,7.484986301,-3.666,1
V1J2N3,7.485150685,-3.668,1
V1J5Y2,7.485150685,-3.666136986,1
V1J4N3,7.485369863,-3.653424658,1
V1J1L2,7.485479452,-3.679972603,1
V1J3H2,7.485506849,-3.666438356,1
V1J5A1,7.485643836,-3.653178082,1
V1J3B5,7.485671233,-3.654547945,1
V1J2Z5,7.48569863,-3.652547945,1
V1J2Z6,7.485917808,-3.65260274,1
V1J1B8,7.486082192,-3.651616438,1
V1J3J2,7.486136986,-3.668547945,1
V1J1C3,7.486191781,-3.653589041,1
V1J2L4,7.486219178,-3.667452055,1
V1J3J3,7.486273973,-3.668739726,1
V1J3B4,7.48630137,-3.654356164,1
V1J4S1,7.486328767,-3.653479452,1
V1J2L5,7.486575342,-3.667369863,1
V1J3J1,7.486684932,-3.668109589,1
V1J3A4,7.486821918,-3.652739726,1
V1J3A3,7.487178082,-3.652849315,1
V1J3H9,7.487232877,-3.667972603,1
V1J2J5,7.487342466,-3.666356164,1
V1J4X6,7.487780822,-3.652082192,1
V1J3H8,7.487808219,-3.667671233,1
V1J6B2,7.487863014,-3.664821918,1
V1J3H7,7.488,-3.667041096,1
V1J6B3,7.488027397,-3.664986301,1
V1J4N2,7.488109589,-3.651917808,1
V1J3B3,7.488246575,-3.652931507,1
V1J1C1,7.488410959,-3.652219178,1
V1J3B2,7.488547945,-3.652821918,1
V1J6A9,7.489232877,-3.665013699,1
V1J6A8,7.489342466,-3.664246575,1
V1J1B9,7.48939726,-3.652164384,1
V1J2G5,7.489780822,-3.666191781,1
V1J6P2,7.489780822,-3.664575342,1
V1J0J6,7.490219178,-3.663589041,1
V1J4B9,7.490246575,-3.676027397,1
V1J3L5,7.490383562,-3.667150685,1
V1J6S9,7.490575342,-3.665479452,1
V1J4R5,7.490575342,-3.665342466,1
V1J3L6,7.490575342,-3.667205479,1
V1J2G6,7.490575342,-3.665972603,1
V1J4B8,7.490794521,-3.675753425,1
V1J4B6,7.490931507,-3.675205479,1
V1J6A2,7.49109589,-3.664712329,1
V1J4B7,7.491369863,-3.675260274,1
V1J7H6,7.491534247,-3.665780822,1
V1J2C5,7.491671233,-3.665178082,1
V1J3L4,7.491726027,-3.66630137,1
V1J7H5,7.491753425,-3.665863014,1
V1J2E2,7.491780822,-3.674657534,1
V1J5Z3,7.491917808,-3.664876712,1
V1J6M5,7.491917808,-3.664876712,1
V1J2E3,7.492027397,-3.674410959,1
V1J2H8,7.492082192,-3.675726027,1
V1J7A2,7.492136986,-3.665178082,1
V1J3L3,7.492191781,-3.665753425,1
V1J2H7,7.49230137,-3.675534247,1
V1J2G8,7.492438356,-3.666767123,1
V1J4C6,7.492657534,-3.67630137,1
V1J2G7,7.492712329,-3.666547945,1
V1J0H9,7.492712329,-3.658767123,1
V1J4C4,7.493232877,-3.675753425,1
V1J2E4,7.493260274,-3.675041096,1
V1J4H5,7.493260274,-3.67369863,1
V1J4H6,7.493260274,-3.67369863,1
V1J4H7,7.493260274,-3.67369863,1
V1J4H8,7.493260274,-3.67369863,1
V1J4H9,7.493260274,-3.67369863,1
V1J4J1,7.493260274,-3.67369863,1
V1J4J2,7.493260274,-3.67369863,1
V1J4J3,7.493260274,-3.67369863,1
V1J4M6,7.493260274,-3.67369863,1
V1J6K1,7.493260274,-3.67369863,1
V1J6K3,7.493260274,-3.67369863,1
V1J0B7,7.493260274,-3.657589041,1
V1J3P7,7.493342466,-3.666931507,1
V1J4C5,7.49339726,-3.675890411,1
V1J2E5,7.493589041,-3.675479452,1
V1J3P6,7.49369863,-3.66690411,1
V1J4B5,7.493726027,-3.673561644,1
V1J2C6,7.493753425,-3.665863014,1
V1J3K3,7.493972603,-3.663479452,1
V1J2B5,7.494,-3.674191781,1
V1J3P5,7.494,-3.666684932,1
V1J2H9,7.494054795,-3.676219178,1
V1J1X7,7.494136986,-3.663835616,1
V1J4G1,7.494219178,-3.677013699,1
V1J6W4,7.494246575,-3.663342466,1
V1J1A2,7.494246575,-3.664767123,1
V1J2G9,7.494246575,-3.666821918,1
V1J2J1,7.494273973,-3.676082192,1
V1J0B8,7.49430137,-3.657863014,1
V1J4E9,7.494356164,-3.67709589,1
V1J0A6,7.494493151,-3.656328767,1
V1J1X8,7.494520548,-3.663726027,1
V1J4C3,7.494684932,-3.675178082,1
V1J0B6,7.494821918,-3.656219178,1
V1J3P4,7.494849315,-3.66630137,1
V1J7G5,7.494876712,-3.656794521,1
V1J2B6,7.494876712,-3.674164384,1
V1J4E7,7.495041096,-3.676273973,1
